Specific_Cell_Ontology_ID	Cell_Marker
CL:0000031	EOMES
CL:0000031	MAPK7
CL:0000031	TUBB3
CL:0000031	NEUROD1
CL:0000031	EZH2
CL:0000031	NEUROG1
CL:0000031	CCKBR
CL:0000031	POU6F2
CL:0000031	LRP8
CL:0000031	DCX
CL:0000031	PROKR2
CL:0000031	DAB1
CL:0000031	ITGA6
CL:0000031	NCAM1
CL:0000031	DLX2
CL:0000031	IGFBPL1
CL:0000031	NCAN
CL:0000031	MARK2
CL:0000031	VLDLR
CL:0000031	DLL3
CL:0000031	TMN2
CL:0000031	ERBB4
CL:0000031	NKX6-1
CL:0000031	EOMES
CL:0000031	NTNG1
CL:0000031	PROS1
CL:0000031	TRIM32
CL:0000031	CD24
CL:0000031	DCX
CL:0000031	PROK2
CL:0000031	PBX1
CL:0000031	SCGN
CL:0000031	GRM5
CL:0000031	EFNA2
CL:0000031	ISL1
CL:0000031	KLK3
CL:0000031	NEUROG2
CL:0000031	CNR1
CL:0000031	EGFR
CL:0000031	PHF1
CL:0000031	EPHA4
CL:0000031	SP8
CL:0000031	DPYSL3
CL:0000031	SALL3
CL:0000031	SIRT1
CL:0000031	CCKAR
CL:0000031	SP9
CL:0000031	ACKR3
CL:0000031	ASCL1
CL:0000031	CUTL2
CL:0000031	TACC3
CL:0000031	ZBED4
CL:0000031	TSHZ1
CL:0000031	DRAXIN
CL:0000031	DCX
CL:0000031	NESTIN
CL:0000031	WT1
CL:0000031	CALB2
CL:0000465	tinc4-gfp
CL:0000477	HSD17B1
CL:0000477	AMH
CL:0000477	SERPINE2
CL:0000477	eya
CL:0000477	jupiter
CL:0000477	GSTA1
CL:0000477	fas3
CL:0000477	fas3
CL:0000477	mirror
CL:0000492	CD4
CL:0000492	CCR1
CL:0000492	CD3D
CL:0000492	CD3E
CL:0000492	CD3G
CL:0000492	CD4
CL:0000492	CCR5
CL:0000492	LAG3
CL:0000492	PTPRC
CL:0000492	RUNX3
CL:0000492	HAVCR2
CL:0000492	IL10
CL:0000492	GNLY
CL:0000492	IFNGAMMA
CL:0000492	TBX21
CL:0000492	CD3D
CL:0000494	OPN5
CL:0000598	SMI-32
CL:0000598	TBR1
CL:0000598	CAMK
CL:0000598	CCK
CL:0000598	GRIN2D
CL:0000598	SMI-32
CL:0000598	OXTR
CL:0000598	CALB1
CL:0000598	NEUROD6
CL:0000598	KCNN4
CL:0000598	CAMK
CL:0000598	MRD62
CL:0000598	PDE2A
CL:0000598	KCND2
CL:0000598	MAP2
CL:0000598	NEUROD6
CL:0000598	KCNB2
CL:0000598	KCNQ2
CL:0000598	POU3F1
CL:0000598	CD3E
CL:0000598	SATB2
CL:0000598	NR4A2
CL:0000598	PTPRG
CL:0000598	SPO
CL:0000598	KCND3
CL:0000598	AGER
CL:0000598	CCM2
CL:0000598	POU3F1
CL:0000598	GRM5
CL:0000598	EMX1
CL:0000598	YWHAZ
CL:0000598	SMI-32
CL:0000598	SPINK8
CL:0000598	EMX1
CL:0000598	PCP4
CL:0000598	KCNQ3
CL:0000598	GRIA3
CL:0000598	GRM1
CL:0000598	DAB1
CL:0000598	ADRB2
CL:0000598	FEZF2
CL:0000598	KCNB1
CL:0000598	RTN4
CL:0000598	NRGN
CL:0000617	GAD1
CL:0000617	FOXP2
CL:0000617	LHX8
CL:0000617	TTLL5
CL:0000617	FOXP2
CL:0000617	LHX8
CL:0000617	TTLL5
CL:0000617	NPY
CL:0000617	LHX8
CL:0000617	SLC6A1
CL:0000617	NXPH1
CL:0000617	NXPH1
CL:0000617	GAD1
CL:0000617	CALB2
CL:0000617	unc-47
CL:0000617	LAMP5
CL:0000617	LAMP5
CL:0000617	GAD1
CL:0000617	NPY
CL:0000617	LHX8
CL:0000617	NPY
CL:0000617	GADD45B
CL:0000617	SST
CL:0000617	SLC32A1
CL:0000617	PENK
CL:0000617	LAMP5
CL:0000617	SLC32A1
CL:0000617	CALB2
CL:0000617	VIP
CL:0000617	gad1
CL:0000617	GABBR2
CL:0000617	MYBPC1
CL:0000617	GAD2
CL:0000617	SLC6A11
CL:0000617	NPY
CL:0000617	SLC6A1
CL:0000617	GAD1
CL:0000617	LAMP5
CL:0000617	PVALB
CL:0000617	SEMA3C
CL:0000617	GAD2
CL:0000617	PENK
CL:0000617	SLC32A1
CL:0000617	PPP1R1B
CL:0000617	FOXP2
CL:0000617	CALB2
CL:0000617	SLC32A1
CL:0000617	GAD2
CL:0000617	TNFAIP8L3
CL:0000617	SLC6A11
CL:0000617	PARM1
CL:0000617	PENK
CL:0000617	FOXP2
CL:0000617	NXPH1
CL:0000617	SLC6A13
CL:0000617	GABBR1
CL:0000617	PENK
CL:0000617	GAD1
CL:0000617	DLX1
CL:0000617	GAD1
CL:0000617	CALB2
CL:0000617	GRIK1
CL:0000617	GAD1
CL:0000617	TTLL5
CL:0000617	NXPH1
CL:0000617	SLC6A13
CL:0000617	SLC32A1
CL:0000617	GAD1
CL:0000617	PAX2
CL:0000617	TTLL5
CL:0000617	PPP1R1B
CL:0000624	TBC1D4
CL:0000624	ICOS
CL:0000624	CD3D
CL:0000624	BCL11B
CL:0000624	TMEM66
CL:0000624	ELE
CL:0000624	FOXP3
CL:0000624	PBXIP1
CL:0000624	CD3G
CL:0000624	CD38
CL:0000624	IL-7R
CL:0000624	IL2RA
CL:0000624	FBLN7
CL:0000624	TFRC
CL:0000624	CD3G
CL:0000624	CD3D
CL:0000624	CCR6
CL:0000624	PTPRC
CL:0000624	IL-7R
CL:0000624	CD4
CL:0000624	CD182
CL:0000624	TNIK
CL:0000624	PTPRC
CL:0000624	TIAM1
CL:0000624	CD4
CL:0000624	DGKA
CL:0000624	CD4
CL:0000624	CD4
CL:0000624	BTLA
CL:0000624	CD3D
CL:0000624	CD3G
CL:0000624	PIK3IP1
CL:0000624	CD4
CL:0000624	TNFRSF4
CL:0000624	TESPA1
CL:0000624	CD4
CL:0000624	CD4
CL:0000624	CAMK IV
CL:0000624	NELFCD
CL:0000624	FYB
CL:0000624	CD4
